Wall time,Step,Value
1696155804.7833714,10,0.08861996978521347
1696155875.3767943,30,0.1237260103225708
1696155910.9613965,40,0.1289072334766388
1696155946.2866094,50,0.12990394234657288
1696156052.6875477,80,0.14934761822223663
1696156123.0533228,100,0.15592186152935028
1696156158.308246,110,0.15766291320323944
1696156192.978558,120,0.16112081706523895
1696156297.252027,150,0.16425034403800964
1696156331.5651743,160,0.16555526852607727
1696156366.148294,170,0.16504648327827454
1696156400.4788346,180,0.16308258473873138
1696156434.750227,190,0.16330832242965698
1696156468.287166,200,0.1643982231616974
1696156502.2431037,210,0.16235528886318207
1696156570.415287,230,0.16670575737953186
1696156603.8150454,240,0.16866445541381836
1696156671.3469565,260,0.17196673154830933
1696156704.500389,270,0.17240484058856964
1696156737.679035,280,0.16832956671714783
1696156770.8433058,290,0.17088085412979126
1696156804.188071,300,0.17131394147872925
1696156837.7314856,310,0.17014668881893158
1696156871.463979,320,0.16803231835365295
1696156904.6701167,330,0.1687573492527008
1696156937.5662687,340,0.16602179408073425
1696156970.6274369,350,0.16600973904132843
1696157037.2223387,370,0.16480521857738495
1696157069.8552358,380,0.16604216396808624
1696157103.4784226,390,0.1684223860502243
1696157136.4387236,400,0.16921745240688324
1696157169.8405752,410,0.16842196881771088
1696157236.413735,430,0.1662607342004776
1696157269.5727632,440,0.16225534677505493
1696157368.933397,470,0.1610410213470459
1696157401.7179756,480,0.16736532747745514
1696157435.0098412,490,0.16878297924995422
1696157467.8321264,500,0.16981938481330872
1696157501.0833757,510,0.17375655472278595
1696157533.727331,520,0.1756165325641632
1696157566.6358466,530,0.17477735877037048
1696157600.0520413,540,0.17427684366703033
1696157632.926302,550,0.17147977650165558
1696157666.2677956,560,0.17033612728118896
1696157732.262805,580,0.166978120803833
1696157765.1125057,590,0.1665409952402115
1696157831.1471086,610,0.16469217836856842
1696157864.0094628,620,0.16507218778133392
1696157897.1149304,630,0.16879108548164368
1696157930.4970555,640,0.17356576025485992
1696157996.6953413,660,0.1734151542186737
1696158029.6640844,670,0.17354363203048706
1696158062.3474848,680,0.17285124957561493
1696158095.5019038,690,0.17184540629386902
1696158162.1266263,710,0.1739688366651535
1696158195.0044224,720,0.17182636260986328
1696158228.607516,730,0.17280103266239166
1696158261.904057,740,0.1710609793663025
1696158327.9459372,760,0.17211303114891052
1696158361.2247703,770,0.17229455709457397
1696158394.8706293,780,0.17419806122779846
1696158428.1488583,790,0.17438410222530365
1696158461.612415,800,0.175419420003891
1696158494.3879926,810,0.1766349971294403
1696158527.1403897,820,0.1774354875087738
1696158560.2809608,830,0.17490923404693604
1696158593.1080446,840,0.17580546438694
1696158626.8111196,850,0.17494697868824005
1696158660.0718706,860,0.1752857267856598
1696158693.6404784,870,0.17784026265144348
1696158727.0871572,880,0.17955449223518372
1696158760.3615003,890,0.18056213855743408
1696158793.695425,900,0.1824038028717041
1696158827.4301648,910,0.18456630408763885
1696158894.6332955,930,0.18630611896514893
1696158961.3631036,950,0.18175381422042847
1696158994.8069646,960,0.17994824051856995
1696159028.5898156,970,0.1794816106557846
1696159129.489739,1000,0.18517708778381348
1696159163.2549837,1010,0.1824743002653122
1696159196.392375,1020,0.18208615481853485
1696159264.226793,1040,0.18391624093055725
1696159298.1406744,1050,0.18377217650413513
1696159365.8001146,1070,0.18765585124492645
1696159399.3735235,1080,0.18292853236198425
1696159432.9023452,1090,0.1826392114162445
1696159466.6363797,1100,0.18068435788154602
1696159500.4231818,1110,0.1834472417831421
1696159533.7992117,1120,0.18075120449066162
1696159567.4369452,1130,0.18587662279605865
1696159635.3436573,1150,0.18674923479557037
1696159668.8671758,1160,0.18223227560520172
1696159702.7204313,1170,0.18225255608558655
1696159736.6136026,1180,0.17808958888053894
1696159770.3969605,1190,0.1820327788591385
1696159803.8542426,1200,0.18170741200447083
1696159837.717945,1210,0.17931662499904633
1696159871.502626,1220,0.18073712289333344
1696159905.507346,1230,0.17937752604484558
1696159939.4511318,1240,0.1770043671131134
1696160007.351707,1260,0.17879649996757507
1696160041.558516,1270,0.17842265963554382
1696160075.4802933,1280,0.17660988867282867
1696160109.5570798,1290,0.17889796197414398
1696160143.2613287,1300,0.17614154517650604
1696160177.392294,1310,0.172755628824234
1696160211.1016726,1320,0.17151576280593872
1696160244.7454526,1330,0.17473413050174713
1696160312.8278244,1350,0.173338383436203
1696160380.8133113,1370,0.1761651486158371
1696160414.991466,1380,0.17356202006340027
1696160449.1177459,1390,0.1751212328672409
1696160482.6119723,1400,0.17459982633590698
1696160516.5172794,1410,0.17505984008312225
1696160550.0592225,1420,0.1757250875234604
1696160617.7388747,1440,0.17986497282981873
1696160651.6091092,1450,0.17921046912670135
1696160685.8105273,1460,0.17770642042160034
1696160720.0141537,1470,0.1782578080892563
1696160753.797759,1480,0.1782490313053131
1696160787.6832507,1490,0.17595545947551727
1696160855.4833126,1510,0.1826348900794983
1696160923.3763366,1530,0.17990626394748688
1696160957.616347,1540,0.18537986278533936
1696160991.4246607,1550,0.17984360456466675
1696161059.2224677,1570,0.17709891498088837
1696161093.0650935,1580,0.1799728125333786
1696161126.782847,1590,0.1742997169494629
1696161160.838264,1600,0.18284621834754944
1696161194.5969946,1610,0.1866815686225891
1696161228.6277366,1620,0.1896459311246872
1696161262.4385726,1630,0.1881043016910553
1696161296.6990566,1640,0.1923762857913971
1696161331.0202765,1650,0.18797017633914948
1696161365.169048,1660,0.18687628209590912
1696161399.2045705,1670,0.18685998022556305
1696161467.006073,1690,0.18123936653137207
1696161500.8296258,1700,0.18092869222164154
1696161534.6533647,1710,0.18148912489414215
1696161568.578656,1720,0.17877483367919922
1696161602.688873,1730,0.18157543241977692
1696161636.8407063,1740,0.18376348912715912
1696161670.7047453,1750,0.18231359124183655
1696161704.4487193,1760,0.18258053064346313
1696161738.8937998,1770,0.18395589292049408
1696161772.5350254,1780,0.18177147209644318
1696161806.0434563,1790,0.18018952012062073
1696161874.1427286,1810,0.1799684464931488
1696161908.3974266,1820,0.17751356959342957
1696161942.435307,1830,0.17913402616977692
1696161976.7875385,1840,0.17975249886512756
1696162010.7323785,1850,0.17867586016654968
1696162044.4445546,1860,0.18005189299583435
1696162078.3340452,1870,0.18321551382541656
1696162180.4088082,1900,0.18413889408111572
1696162214.8447511,1910,0.18384720385074615
1696162248.898019,1920,0.18164095282554626
1696162282.7277455,1930,0.18362785875797272
1696162317.0083113,1940,0.1856139749288559
1696162385.0764625,1960,0.18980924785137177
1696162453.6557198,1980,0.18472516536712646
