Wall time,Step,Value
1695692430.8229237,10,0.02947080507874489
1695692499.8256633,30,0.1038072481751442
1695692534.1531055,40,0.11643360555171967
1695692569.0640397,50,0.12321440875530243
1695692673.2166328,80,0.15285663306713104
1695692742.0833657,100,0.15608063340187073
1695692776.1842127,110,0.15691591799259186
1695692810.1997943,120,0.15788808465003967
1695692912.29741,150,0.16296936571598053
1695692945.9847898,160,0.1664636731147766
1695692979.6270788,170,0.1681954562664032
1695693013.7448819,180,0.1680150181055069
1695693047.204854,190,0.16792352497577667
1695693080.4077368,200,0.16815227270126343
1695693113.6181304,210,0.16706450283527374
1695693179.9007075,230,0.1647828072309494
1695693213.5110192,240,0.16712893545627594
1695693280.0204835,260,0.16569800674915314
1695693313.5351481,270,0.16750703752040863
1695693347.2770512,280,0.17032815515995026
1695693380.8165662,290,0.16982658207416534
1695693413.5982876,300,0.16859742999076843
1695693446.5518682,310,0.17103604972362518
1695693479.870681,320,0.17045630514621735
1695693512.2020376,330,0.17026804387569427
1695693544.7933657,340,0.1687319576740265
1695693578.0518603,350,0.16986992955207825
1695693644.5866017,370,0.16707585752010345
1695693677.9464612,380,0.16499733924865723
1695693710.7677002,390,0.16492363810539246
1695693743.943577,400,0.1631792038679123
1695693776.6373143,410,0.16616342961788177
1695693842.7959025,430,0.16770753264427185
1695693875.7220285,440,0.17013190686702728
1695693975.5880604,470,0.16900230944156647
1695694008.5323122,480,0.1681588590145111
1695694041.373774,490,0.17079252004623413
1695694074.5156345,500,0.1720767766237259
1695694107.9602492,510,0.17387308180332184
1695694141.2140357,520,0.17359569668769836
1695694174.604754,530,0.1751096099615097
1695694207.2715786,540,0.1699698269367218
1695694239.9905143,550,0.16874723136425018
1695694273.3050416,560,0.16891473531723022
1695694339.32675,580,0.17591656744480133
1695694372.1695921,590,0.18076421320438385
1695694437.9599473,610,0.18766680359840393
1695694470.8390665,620,0.18935364484786987
1695694503.8922167,630,0.1881939023733139
1695694537.2144322,640,0.18654277920722961
1695694602.856002,660,0.18557831645011902
1695694635.9449604,670,0.18326643109321594
1695694669.113954,680,0.1838427484035492
1695694703.057973,690,0.18410545587539673
1695694769.2922916,710,0.18290403485298157
1695694803.0595653,720,0.18150466680526733
1695694836.1069145,730,0.1771356612443924
1695694868.7364967,740,0.1774960160255432
1695694935.567238,760,0.17833660542964935
1695694968.7734618,770,0.18070432543754578
1695695001.7945032,780,0.18295586109161377
1695695035.1559508,790,0.17977279424667358
1695695068.6822019,800,0.18017363548278809
1695695102.1147585,810,0.17905719578266144
1695695135.6551456,820,0.1790880560874939
1695695168.8332393,830,0.1775953620672226
1695695201.8451147,840,0.1801048368215561
1695695235.919424,850,0.1793755143880844
1695695269.686771,860,0.18151883780956268
1695695303.5941029,870,0.18230368196964264
1695695337.3714614,880,0.18010500073432922
1695695371.5326772,890,0.1802310049533844
1695695405.2808127,900,0.17900873720645905
1695695438.9451,910,0.1759217530488968
1695695506.4537637,930,0.17808261513710022
1695695573.2865682,950,0.1810021996498108
1695695607.2808673,960,0.18221157789230347
1695695641.186909,970,0.1805724948644638
1695695742.689686,1000,0.17986415326595306
1695695776.55143,1010,0.1815822422504425
1695695810.4374552,1020,0.18067117035388947
1695695877.904284,1040,0.182474285364151
1695695911.723885,1050,0.18202920258045197
1695695979.3733566,1070,0.18100987374782562
1695696013.2068512,1080,0.1801721751689911
1695696046.9341135,1090,0.17792010307312012
1695696080.849965,1100,0.1784222275018692
1695696114.9458995,1110,0.18023212254047394
1695696148.9568906,1120,0.18250805139541626
1695696182.7448409,1130,0.1797185242176056
1695696250.3075197,1150,0.1880427449941635
1695696284.0668836,1160,0.18366089463233948
1695696318.3887513,1170,0.18236327171325684
1695696352.1871648,1180,0.18371368944644928
1695696386.1381202,1190,0.1786859631538391
1695696419.9327383,1200,0.17777086794376373
1695696453.5726979,1210,0.17869365215301514
1695696487.5817142,1220,0.17990173399448395
1695696521.791919,1230,0.1798391044139862
1695696555.5778184,1240,0.18268229067325592
1695696623.1495144,1260,0.1804969608783722
1695696656.967534,1270,0.1790361851453781
1695696691.0859342,1280,0.17783987522125244
1695696725.025221,1290,0.17416007816791534
1695696759.1025999,1300,0.17479771375656128
1695696793.1378675,1310,0.1740456521511078
1695696827.413067,1320,0.1779518574476242
1695696861.8306465,1330,0.1795564889907837
1695696930.5108242,1350,0.18672335147857666
1695696999.1191192,1370,0.19038434326648712
1695697033.1222875,1380,0.1909140795469284
1695697067.1227386,1390,0.1915282905101776
1695697101.2178347,1400,0.1884492188692093
1695697135.258084,1410,0.1896892935037613
1695697169.1894243,1420,0.18679162859916687
1695697236.994849,1440,0.18599796295166016
1695697271.2858052,1450,0.18466877937316895
1695697305.6668296,1460,0.18219706416130066
1695697339.9059196,1470,0.17818713188171387
1695697374.3314776,1480,0.17790775001049042
1695697408.8628235,1490,0.17753204703330994
1695697477.8795722,1510,0.1819676160812378
1695697547.5377383,1530,0.18256990611553192
1695697581.922811,1540,0.1875983625650406
1695697616.6486566,1550,0.18626540899276733
1695697686.113353,1570,0.1822224259376526
1695697720.864579,1580,0.18526042997837067
1695697755.3548863,1590,0.1818132996559143
1695697789.952854,1600,0.178756982088089
1695697824.3157196,1610,0.17540107667446136
1695697858.2798305,1620,0.17851851880550385
1695697892.4855816,1630,0.17786109447479248
1695697926.8746305,1640,0.1766313910484314
1695697961.6226957,1650,0.17837880551815033
1695697996.577075,1660,0.1799723356962204
1695698030.763166,1670,0.17619144916534424
1695698098.6695254,1690,0.17538881301879883
1695698133.2190766,1700,0.17508824169635773
1695698167.7331016,1710,0.181906059384346
1695698202.067217,1720,0.18337097764015198
1695698236.5278118,1730,0.1824808269739151
1695698271.0955658,1740,0.18178080022335052
1695698305.2277904,1750,0.1833331286907196
1695698339.8299513,1760,0.17717373371124268
1695698374.1843073,1770,0.17782001197338104
1695698408.0977883,1780,0.17883600294589996
1695698442.6892784,1790,0.1796455830335617
1695698511.4243484,1810,0.18333445489406586
1695698545.5314803,1820,0.18371562659740448
1695698579.789713,1830,0.1839960664510727
1695698614.2205305,1840,0.18371722102165222
1695698648.5104678,1850,0.18179185688495636
1695698682.535279,1860,0.17765741050243378
1695698716.841317,1870,0.17611710727214813
1695698819.1740096,1900,0.1755816638469696
1695698853.271241,1910,0.17852991819381714
1695698887.6728458,1920,0.1787451058626175
1695698921.7652674,1930,0.17595045268535614
1695698956.2389023,1940,0.17887906730175018
1695699024.79598,1960,0.17975546419620514
1695699093.378533,1980,0.18282921612262726
1695699127.530037,1990,0.18009041249752045
1695699161.6662493,2000,0.17969174683094025
1695699195.7174532,2010,0.1806727796792984
1695699264.541704,2030,0.17910917103290558
1695699298.8537655,2040,0.17970815300941467
1695699333.0572004,2050,0.18241232633590698
1695699367.3821094,2060,0.18300658464431763
1695699401.6902974,2070,0.18089541792869568
1695699435.5538325,2080,0.18121354281902313
1695699469.9110086,2090,0.1824554055929184
1695699503.857292,2100,0.18065102398395538
1695699538.1666064,2110,0.1812506914138794
1695699572.3088517,2120,0.1790878176689148
1695699640.8599935,2140,0.1778365820646286
1695699674.8922954,2150,0.17610356211662292
1695699709.2211084,2160,0.17360948026180267
1695699743.4400594,2170,0.1739327609539032
1695699811.7479548,2190,0.1709194779396057
1695699846.339865,2200,0.17193037271499634
1695699880.2847383,2210,0.16869598627090454
