Method,Noise,Blur,Weather,Digital,,Gaussian,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Brightness,Contrast,Elastic,Pixelate,JPEG
Pretrained,0.157,0.14475,0.390333333,0.3982,,0.142,0.192,0.137,0.159,0.116,0.142,0.162,0.293,0.396,0.482,0.661,0.178,0.368,0.255,0.529
Stylized,0.260333333,0.2125,0.483666667,0.511,,0.232,0.299,0.25,0.187,0.197,0.231,0.235,0.421,0.469,0.561,0.664,0.305,0.514,0.503,0.569
Augmix,0.219,0.204,0.441,0.427,,0.197,0.261,0.199,0.213,0.176,0.184,0.243,0.319,0.434,0.57,0.657,0.262,0.428,0.278,0.51
SAM,0.158,0.1785,0.470666667,0.4652,,0.142,0.206,0.126,0.163,0.165,0.173,0.213,0.385,0.465,0.562,0.675,0.208,0.53,0.385,0.528
ASAM,0.143333333,0.17325,0.416,0.4236,,0.131,0.183,0.116,0.157,0.156,0.173,0.207,0.316,0.373,0.559,0.626,0.185,0.471,0.336,0.5
RobustDet,0.189333333,0.1175,0.347,0.3964,,0.18,0.227,0.161,0.119,0.087,0.117,0.147,0.266,0.35,0.425,0.626,0.138,0.376,0.327,0.515
RobustDet_cfr,0.187666667,0.13875,0.347333333,0.3802,,0.175,0.241,0.147,0.13,0.114,0.141,0.17,0.271,0.32,0.451,0.608,0.144,0.406,0.26,0.483
Ours,0.473666667,0.237,0.498,0.5258,,0.452,0.499,0.47,0.203,0.25,0.238,0.257,0.43,0.497,0.567,0.662,0.329,0.569,0.487,0.582
