Method,Noise,Blur,Weather,Digital,,Gaussian,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Brightness,Contrast,Elastic,Pixelate,JPEG
Pretrained,0.662333333,0.587,0.671666667,0.7406,,0.669,0.691,0.627,0.636,0.671,0.656,0.385,0.607,0.688,0.72,0.765,0.734,0.705,0.751,0.748
Stylized,0.652333333,0.59,0.658666667,0.7142,,0.653,0.669,0.635,0.608,0.65,0.657,0.445,0.622,0.659,0.695,0.73,0.706,0.699,0.724,0.712
Augmix,0.665666667,0.602,0.656,0.7234,,0.671,0.689,0.637,0.625,0.662,0.661,0.46,0.588,0.668,0.712,0.74,0.726,0.692,0.736,0.723
SAM,0.697333333,0.62175,0.693333333,0.7528,,0.706,0.715,0.671,0.647,0.694,0.689,0.457,0.649,0.702,0.729,0.772,0.736,0.737,0.766,0.753
ASAM,0.674666667,0.617,0.672333333,0.746,,0.686,0.699,0.639,0.641,0.685,0.688,0.454,0.615,0.676,0.726,0.764,0.734,0.727,0.757,0.748
RobustDet,0.634666667,0.5485,0.645333333,0.7192,,0.626,0.662,0.616,0.592,0.648,0.621,0.333,0.587,0.663,0.686,0.745,0.712,0.68,0.735,0.724
RobustDet_cfr,0.6,0.57425,0.632333333,0.7184,,0.582,0.621,0.597,0.605,0.649,0.648,0.395,0.578,0.635,0.684,0.736,0.707,0.695,0.734,0.72
Ours,0.694333333,0.6135,0.668,0.7216,,0.7,0.711,0.672,0.617,0.674,0.675,0.488,0.634,0.675,0.695,0.732,0.713,0.718,0.726,0.719
