Method,Noise,Blur,Weather,Digital,,Gaussian,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Brightness,Contrast,Elastic,Pixelate,JPEG
Pretrained,0.583333333,0.478,0.566333333,0.7168,,0.594,0.619,0.537,0.55,0.564,0.511,0.287,0.44,0.572,0.687,0.753,0.707,0.652,0.741,0.731
Stylized,0.597333333,0.511,0.589,0.6966,,0.598,0.616,0.578,0.549,0.576,0.567,0.352,0.509,0.583,0.675,0.718,0.685,0.672,0.714,0.694
Augmix,0.605,0.50125,0.578666667,0.702,,0.614,0.63,0.571,0.543,0.567,0.539,0.356,0.456,0.583,0.697,0.728,0.705,0.648,0.728,0.701
SAM,0.627666667,0.5225,0.612,0.7334,,0.637,0.654,0.592,0.562,0.606,0.567,0.355,0.519,0.613,0.704,0.76,0.71,0.71,0.754,0.733
ASAM,0.59,0.519,0.576666667,0.7228,,0.604,0.627,0.539,0.551,0.597,0.569,0.359,0.465,0.56,0.705,0.744,0.703,0.693,0.747,0.727
RobustDet,0.560666667,0.4295,0.533333333,0.6942,,0.56,0.592,0.53,0.49,0.533,0.444,0.251,0.409,0.54,0.651,0.735,0.678,0.629,0.721,0.708
RobustDet_cfr,0.534666667,0.463,0.518333333,0.691,,0.513,0.564,0.527,0.512,0.539,0.507,0.294,0.406,0.5,0.649,0.72,0.668,0.65,0.722,0.695
Ours,0.669,0.53225,0.603333333,0.7064,,0.675,0.687,0.645,0.544,0.605,0.591,0.389,0.531,0.605,0.674,0.719,0.692,0.698,0.717,0.706
