Method,Noise,Blur,Weather,Digital,,Gaussian,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Brightness,Contrast,Elastic,Pixelate,JPEG
Pretrained,0.476,0.293,0.504333333,0.6606,,0.466,0.509,0.453,0.37,0.244,0.319,0.239,0.405,0.474,0.634,0.736,0.642,0.552,0.659,0.714
Stylized,0.532,0.392,0.554666667,0.6646,,0.521,0.547,0.528,0.414,0.394,0.436,0.324,0.493,0.518,0.653,0.707,0.639,0.622,0.675,0.68
Augmix,0.524333333,0.35375,0.524,0.6588,,0.51,0.547,0.516,0.401,0.299,0.377,0.338,0.399,0.503,0.67,0.713,0.659,0.577,0.664,0.681
SAM,0.523666667,0.362,0.564,0.6932,,0.512,0.549,0.51,0.385,0.366,0.385,0.312,0.486,0.535,0.671,0.742,0.65,0.655,0.705,0.714
ASAM,0.472666667,0.34625,0.514333333,0.6734,,0.465,0.505,0.448,0.365,0.322,0.392,0.306,0.418,0.452,0.673,0.719,0.633,0.624,0.682,0.709
RobustDet,0.489666667,0.255,0.464,0.6416,,0.485,0.509,0.475,0.306,0.242,0.262,0.21,0.38,0.432,0.58,0.714,0.598,0.539,0.664,0.693
RobustDet_cfr,0.476666667,0.28825,0.456666667,0.633,,0.465,0.503,0.462,0.325,0.257,0.322,0.249,0.379,0.398,0.593,0.694,0.586,0.57,0.641,0.674
Ours,0.635666667,0.42025,0.564666667,0.6752,,0.631,0.652,0.624,0.412,0.454,0.457,0.358,0.5,0.546,0.648,0.705,0.649,0.654,0.677,0.691
