Method,Noise,Blur,Weather,Digital,,Gaussian,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Brightness,Contrast,Elastic,Pixelate,JPEG
Pretrained,0.291333333,0.19225,0.448333333,0.5404,,0.294,0.309,0.271,0.237,0.155,0.19,0.187,0.289,0.454,0.602,0.704,0.436,0.475,0.441,0.646
Stylized,0.403,0.28625,0.517,0.6004,,0.398,0.412,0.399,0.278,0.3,0.299,0.268,0.412,0.507,0.632,0.687,0.51,0.58,0.588,0.637
Augmix,0.371333333,0.25725,0.477666667,0.5552,,0.367,0.385,0.362,0.286,0.232,0.243,0.268,0.299,0.487,0.647,0.686,0.508,0.51,0.452,0.62
SAM,0.32,0.24625,0.512333333,0.5954,,0.322,0.339,0.299,0.246,0.256,0.233,0.25,0.372,0.516,0.649,0.713,0.455,0.605,0.555,0.649
ASAM,0.276333333,0.2375,0.464666667,0.5638,,0.279,0.297,0.253,0.234,0.233,0.236,0.247,0.3,0.44,0.654,0.68,0.425,0.562,0.519,0.633
RobustDet,0.345,0.16975,0.408333333,0.5278,,0.356,0.348,0.331,0.189,0.165,0.156,0.169,0.266,0.413,0.546,0.678,0.361,0.467,0.501,0.632
RobustDet_cfr,0.331,0.19275,0.403333333,0.5118,,0.344,0.349,0.3,0.202,0.178,0.191,0.2,0.276,0.374,0.56,0.656,0.366,0.502,0.429,0.606
Ours,0.566666667,0.31925,0.526333333,0.6144,,0.565,0.576,0.559,0.299,0.372,0.314,0.292,0.418,0.533,0.628,0.684,0.526,0.624,0.589,0.649
